"Date.Year","Station.City","Station.State","Data.Temperature.Avg Temp","Data.Temperature.Max Temp","Data.Temperature.Min Temp"
"2017","Olympia","Washington","36","42","29"
"2017","Quillayute","Washington","37","43","31"
"2017","Seattle","Washington","40","44","35"
"2017","Spokane","Washington","25","32","19"
"2017","Yakima","Washington","28","40","15"
"2017","Beckley","West Virginia","38","46","29"
"2017","Charleston","West Virginia","44","53","34"
"2017","Elkins","West Virginia","38","49","27"
"2017","Huntington","West Virginia","44","53","35"
"2017","Green Bay","Wisconsin","28","34","21"
"2017","La Crosse","Wisconsin","28","35","20"
"2017","Madison","Wisconsin","27","34","19"
"2017","Milwaukee","Wisconsin","31","38","23"
